transactions,item,date,time,month,day,period_day,weekday_weekend
1,Bread,30/10/2016,9:58:00,October,Sunday,morning,weekend
2,Scandinavian,30/10/2016,10:58:00,October,Sunday,morning,weekend
2,Scandinavian,30/10/2016,11:58:00,October,Sunday,morning,weekend
3,Hot chocolate,30/10/2016,12:58:00,October,Sunday,afternoon,weekend
3,Jam,30/10/2016,13:58:00,October,Sunday,afternoon,weekend
3,Cookies,30/10/2016,14:58:00,October,Sunday,afternoon,weekend
4,Muffin,30/10/2016,15:58:00,October,Sunday,afternoon,weekend
5,Coffee,30/10/2016,16:58:00,October,Sunday,afternoon,weekend
5,Pastry,30/10/2016,17:58:00,October,Sunday,evening,weekend
5,Bread,30/10/2016,18:58:00,October,Sunday,evening,weekend
6,Medialuna,30/10/2016,19:58:00,October,Sunday,evening,weekend
6,Pastry,30/10/2016,20:58:00,October,Sunday,evening,weekend
6,Muffin,30/10/2016,21:58:00,October,Sunday,night,weekend
7,Medialuna,30/10/2016,22:58:00,October,Sunday,night,weekend
7,Pastry,30/10/2016,23:58:00,October,Sunday,night,weekend
7,Coffee,31/10/2016,0:58:00,October,Monday,night,weekend
7,Tea,31/10/2016,1:58:00,October,Monday,night,weekend
8,Pastry,31/10/2016,2:58:00,October,Monday,night,weekend
8,Bread,31/10/2016,3:58:00,October,Monday,night,weekend
9,Bread,31/10/2016,4:58:00,October,Monday,night,weekend
9,Muffin,31/10/2016,5:58:00,October,Monday,morning,weekend
10,Scandinavian,31/10/2016,6:58:00,October,Monday,morning,weekend
10,Medialuna,31/10/2016,7:58:00,October,Monday,morning,weekend
11,Bread,31/10/2016,8:58:00,October,Monday,morning,weekend
11,Medialuna,31/10/2016,9:58:00,October,Monday,morning,weekend
11,Bread,31/10/2016,10:58:00,October,Monday,morning,weekend
12,Jam,31/10/2016,11:58:00,October,Monday,morning,weekend
12,Coffee,31/10/2016,12:58:00,October,Monday,afternoon,weekend
12,Tartine,31/10/2016,13:58:00,October,Monday,afternoon,weekend
12,Pastry,31/10/2016,14:58:00,October,Monday,afternoon,weekend
12,Tea,31/10/2016,15:58:00,October,Monday,afternoon,weekend
13,Basket,31/10/2016,16:58:00,October,Monday,afternoon,weekend
13,Bread,31/10/2016,17:58:00,October,Monday,evening,weekend
13,Coffee,31/10/2016,18:58:00,October,Monday,evening,weekend
14,Bread,31/10/2016,19:58:00,October,Monday,evening,weekend
14,Medialuna,31/10/2016,20:58:00,October,Monday,evening,weekend
14,Pastry,31/10/2016,21:58:00,October,Monday,night,weekend
15,Mineral water,31/10/2016,22:58:00,October,Monday,night,weekend
15,Scandinavian,31/10/2016,23:58:00,October,Monday,night,weekend
16,Bread,1/11/2016,0:58:00,November,Tuesday,night,weekend
16,Medialuna,1/11/2016,1:58:00,November,Tuesday,night,weekend
16,Coffee,1/11/2016,2:58:00,November,Tuesday,night,weekend
17,Hot chocolate,1/11/2016,3:58:00,November,Tuesday,night,weekend
18,Farm House,1/11/2016,4:58:00,November,Tuesday,night,weekend
19,Farm House,1/11/2016,5:58:00,November,Tuesday,morning,weekend
19,Bread,1/11/2016,6:58:00,November,Tuesday,morning,weekend
20,Bread,1/11/2016,7:58:00,November,Tuesday,morning,weekend
20,Medialuna,1/11/2016,8:58:00,November,Tuesday,morning,weekend
21,Coffee,1/11/2016,9:58:00,November,Tuesday,morning,weekend
21,Coffee,1/11/2016,10:58:00,November,Tuesday,morning,weekend
21,Medialuna,1/11/2016,11:58:00,November,Tuesday,morning,weekend
21,Bread,1/11/2016,12:58:00,November,Tuesday,afternoon,weekend
22,Jam,1/11/2016,13:58:00,November,Tuesday,afternoon,weekend
23,Scandinavian,1/11/2016,14:58:00,November,Tuesday,afternoon,weekend
23,Muffin,1/11/2016,15:58:00,November,Tuesday,afternoon,weekend
24,Bread,1/11/2016,16:58:00,November,Tuesday,afternoon,weekend
25,Scandinavian,1/11/2016,17:58:00,November,Tuesday,evening,weekend
26,Fudge,1/11/2016,18:58:00,November,Tuesday,evening,weekend
27,Scandinavian,1/11/2016,19:58:00,November,Tuesday,evening,weekend
28,Coffee,1/11/2016,20:58:00,November,Tuesday,evening,weekend
28,Bread,1/11/2016,21:58:00,November,Tuesday,night,weekend
29,Bread,1/11/2016,22:58:00,November,Tuesday,night,weekend
29,Jam,1/11/2016,23:58:00,November,Tuesday,night,weekend
30,Bread,2/11/2016,0:58:00,November,Wednesday,night,weekend
31,Basket,2/11/2016,1:58:00,November,Wednesday,night,weekend
32,Scandinavian,2/11/2016,2:58:00,November,Wednesday,night,weekend
32,Muffin,2/11/2016,3:58:00,November,Wednesday,night,weekend
33,Coffee,2/11/2016,4:58:00,November,Wednesday,night,weekend
34,Coffee,2/11/2016,5:58:00,November,Wednesday,morning,weekend
34,Muffin,2/11/2016,6:58:00,November,Wednesday,morning,weekend
35,Muffin,2/11/2016,7:58:00,November,Wednesday,morning,weekend
35,Scandinavian,2/11/2016,8:58:00,November,Wednesday,morning,weekend
36,Tea,2/11/2016,9:58:00,November,Wednesday,morning,weekend
36,Bread,2/11/2016,10:58:00,November,Wednesday,morning,weekend
37,Coffee,2/11/2016,11:58:00,November,Wednesday,morning,weekend
37,Bread,2/11/2016,12:58:00,November,Wednesday,afternoon,weekend
38,Bread,2/11/2016,13:58:00,November,Wednesday,afternoon,weekend
38,Tea,2/11/2016,14:58:00,November,Wednesday,afternoon,weekend
39,Scandinavian,2/11/2016,15:58:00,November,Wednesday,afternoon,weekend
40,Juice,2/11/2016,16:58:00,November,Wednesday,afternoon,weekend
